tick_id,timestamp,second_bucket,records_in_tick
129,2025-04-22T15:47:15.109188-04:00,2025-04-22T15:47:15,400
130,2025-04-22T15:47:15.128137-04:00,2025-04-22T15:47:15,400
131,2025-04-22T15:47:15.313642-04:00,2025-04-22T15:47:15,400
132,2025-04-22T15:47:15.332591-04:00,2025-04-22T15:47:15,400
133,2025-04-22T15:47:15.615836-04:00,2025-04-22T15:47:15,400
134,2025-04-22T15:47:15.820918-04:00,2025-04-22T15:47:15,400
135,2025-04-22T15:47:15.838871-04:00,2025-04-22T15:47:15,400
136,2025-04-22T15:47:15.857820-04:00,2025-04-22T15:47:15,400
137,2025-04-22T15:47:16.125098-04:00,2025-04-22T15:47:16,400
138,2025-04-22T15:47:16.143049-04:00,2025-04-22T15:47:16,400
139,2025-04-22T15:47:16.328466-04:00,2025-04-22T15:47:16,400
140,2025-04-22T15:47:16.346418-04:00,2025-04-22T15:47:16,400
141,2025-04-22T15:47:16.364370-04:00,2025-04-22T15:47:16,400
142,2025-04-22T15:47:16.637179-04:00,2025-04-22T15:47:16,400
143,2025-04-22T15:47:16.656129-04:00,2025-04-22T15:47:16,400
144,2025-04-22T15:47:16.841633-04:00,2025-04-22T15:47:16,400
145,2025-04-22T15:47:16.859585-04:00,2025-04-22T15:47:16,400
146,2025-04-22T15:47:17.045089-04:00,2025-04-22T15:47:17,400
147,2025-04-22T15:47:17.064038-04:00,2025-04-22T15:47:17,400
148,2025-04-22T15:47:17.348789-04:00,2025-04-22T15:47:17,400
149,2025-04-22T15:47:17.369734-04:00,2025-04-22T15:47:17,400
150,2025-04-22T15:47:17.388683-04:00,2025-04-22T15:47:17,400
151,2025-04-22T15:47:17.552248-04:00,2025-04-22T15:47:17,400
152,2025-04-22T15:47:17.570200-04:00,2025-04-22T15:47:17,400
153,2025-04-22T15:47:17.855943-04:00,2025-04-22T15:47:17,400
154,2025-04-22T15:47:17.876887-04:00,2025-04-22T15:47:17,400
155,2025-04-22T15:47:18.060397-04:00,2025-04-22T15:47:18,400
156,2025-04-22T15:47:18.080343-04:00,2025-04-22T15:47:18,400
157,2025-04-22T15:47:18.364582-04:00,2025-04-22T15:47:18,400
158,2025-04-22T15:47:18.386524-04:00,2025-04-22T15:47:18,400
159,2025-04-22T15:47:18.568037-04:00,2025-04-22T15:47:18,400
160,2025-04-22T15:47:18.587985-04:00,2025-04-22T15:47:18,400
161,2025-04-22T15:47:18.669274-04:00,2025-04-22T15:47:18,400
162,2025-04-22T15:47:18.871385-04:00,2025-04-22T15:47:18,400
163,2025-04-22T15:47:18.977102-04:00,2025-04-22T15:47:18,400
164,2025-04-22T15:47:19.078831-04:00,2025-04-22T15:47:19,400
165,2025-04-22T15:47:19.097780-04:00,2025-04-22T15:47:19,400
166,2025-04-22T15:47:19.382076-04:00,2025-04-22T15:47:19,400
167,2025-04-22T15:47:19.401025-04:00,2025-04-22T15:47:19,400
168,2025-04-22T15:47:19.587037-04:00,2025-04-22T15:47:19,400
169,2025-04-22T15:47:19.604989-04:00,2025-04-22T15:47:19,400
170,2025-04-22T15:47:19.890019-04:00,2025-04-22T15:47:19,400
